True,Predicted,Count
7,2,8
7,9,7
9,4,7
4,9,6
2,7,6
9,3,6
8,3,4
3,5,4
3,7,4
2,0,4
2,8,4
9,7,4
6,0,4
0,8,3
4,6,3
3,8,3
1,2,3
8,9,3
9,8,3
5,6,3
7,1,3
9,1,3
5,3,3
8,7,2
9,0,2
6,1,2
5,0,2
3,2,2
4,2,2
9,5,2
2,4,1
1,7,1
1,3,1
0,2,1
0,7,1
4,1,1
3,4,1
2,6,1
6,4,1
4,8,1
5,4,1
5,7,1
5,8,1
6,5,1
6,8,1
5,9,1
8,2,1
8,5,1
7,8,1
8,0,1
9,6,1
