True,Predicted,Count
4,9,16
2,7,14
8,3,14
3,5,13
7,1,12
3,7,9
8,5,9
5,3,8
9,4,8
5,6,7
3,8,6
7,2,6
7,9,6
2,0,5
9,3,5
9,5,4
9,0,4
8,7,4
8,9,4
6,0,4
9,7,4
3,2,4
5,0,3
4,1,3
3,9,3
1,2,3
4,6,3
5,8,3
8,0,3
8,2,3
8,4,3
6,1,3
7,4,3
6,4,3
6,5,3
8,6,3
9,1,3
5,9,3
0,6,2
2,8,2
4,7,2
0,7,2
2,1,2
9,8,2
2,3,2
5,4,2
4,8,1
0,5,1
0,2,1
1,6,1
1,9,1
0,1,1
2,4,1
3,1,1
3,4,1
7,3,1
5,7,1
5,1,1
9,6,1
